strategy,asset,date,weight
CtB-only,A1,2026-04-19,0.25879482394257414
CtB-only,A2,2026-04-19,0.20549237969369172
CtB-only,A3,2026-04-19,0.16612569922730366
CtB-only,A4,2026-04-19,0.19883800850704236
CtB-only,A5,2026-04-19,0.17074908862938803
CtR-only,A1,2026-04-19,0.2106904409674894
CtR-only,A2,2026-04-19,0.19000168699405134
CtR-only,A3,2026-04-19,0.1846274131499028
CtR-only,A4,2026-04-19,0.20198238006967192
CtR-only,A5,2026-04-19,0.21269807881888447
EW,A1,2026-04-19,0.2
EW,A2,2026-04-19,0.2
EW,A3,2026-04-19,0.2
EW,A4,2026-04-19,0.2
EW,A5,2026-04-19,0.2
GMV,A1,2026-04-19,0.1456422554166397
GMV,A2,2026-04-19,0.14029570405787134
GMV,A3,2026-04-19,0.14780843899006516
GMV,A4,2026-04-19,0.22157722268924857
GMV,A5,2026-04-19,0.34467637884617525
MDP,A1,2026-04-19,0.22846620209324603
MDP,A2,2026-04-19,0.20290201373083128
MDP,A3,2026-04-19,0.17551029985560454
MDP,A4,2026-04-19,0.21211312819291064
MDP,A5,2026-04-19,0.18100835612740745
Main,A1,2026-04-19,0.2106904409666642
Main,A2,2026-04-19,0.19000168699435782
Main,A3,2026-04-19,0.18462741314914904
Main,A4,2026-04-19,0.20198238006938468
Main,A5,2026-04-19,0.21269807882044423
